Date;USD2EUR
2023-09-08;0.93398
2023-09-07;0.93458
2023-09-06;0.93225
2023-09-05;0.93229
2023-09-04;0.92635
2023-09-03;0.92827
2023-09-02;0.92699
2023-09-01;0.92699
2023-08-31;0.92235
2023-08-30;0.9151
2023-08-29;0.91887
2023-08-28;0.92393
2023-08-27;0.92631
2023-08-26;0.92632
2023-08-25;0.92616
2023-08-24;0.92524
2023-08-23;0.92037
2023-08-22;0.92177
2023-08-21;0.91777
2023-08-20;0.91968
2023-08-19;0.91833
2023-08-18;0.91832
2023-08-17;0.91966
2023-08-16;0.91902
2023-08-15;0.91717
2023-08-14;0.91675
2023-08-13;0.91401
2023-08-12;0.91271
2023-08-11;0.91208
2023-08-10;0.91051
2023-08-09;0.91092
2023-08-08;0.91304
2023-08-07;0.90893
2023-08-06;0.90877
2023-08-05;0.90697
2023-08-04;0.90697
2023-08-03;0.91309
2023-08-02;0.91373
2023-08-01;0.90869
2023-07-31;0.90896
2023-07-30;0.90709
2023-07-29;0.90651
2023-07-28;0.90651
2023-07-27;0.91046
2023-07-26;0.90178
2023-07-25;0.90485
2023-07-24;0.90382
2023-07-23;0.89864
2023-07-22;0.89857
2023-07-21;0.89824
2023-07-20;0.89814
2023-07-19;0.89269
2023-07-18;0.89041
2023-07-17;0.88965
2023-07-16;0.89084
2023-07-15;0.88992
2023-07-14;0.88939
2023-07-13;0.8908
2023-07-12;0.89801
2023-07-11;0.90808
2023-07-10;0.90896
2023-07-09;0.9119
2023-07-08;0.91152
2023-07-07;0.91113
2023-07-06;0.91822
2023-07-05;0.92119
2023-07-04;0.91908
2023-07-03;0.91631
2023-07-02;0.9166
2023-07-01;0.9161
2023-06-30;0.9161
2023-06-29;0.92032
2023-06-28;0.91607
2023-06-27;0.91254
2023-06-26;0.91655
2023-06-25;0.91684
2023-06-24;0.91608
2023-06-23;0.91498
2023-06-22;0.91292
2023-06-21;0.91008
2023-06-20;0.91579
2023-06-19;0.91539
2023-06-18;0.91401
2023-06-17;0.91266
2023-06-16;0.91266
2023-06-15;0.91334
2023-06-14;0.92307
2023-06-13;0.92665
2023-06-12;0.92927
2023-06-11;0.93066
2023-06-10;0.92992
2023-06-09;0.93028
2023-06-08;0.92739
2023-06-07;0.93464
2023-06-06;0.93505
2023-06-05;0.93341
2023-06-04;0.93425
2023-06-03;0.93341
2023-06-02;0.93342
2023-06-01;0.92911
2023-05-31;0.93515
2023-05-30;0.93174
2023-05-29;0.93372
2023-05-28;0.93286
2023-05-27;0.93188
2023-05-26;0.93188
2023-05-25;0.93225
2023-05-24;0.92982
2023-05-23;0.92833
2023-05-22;0.92482
2023-05-21;0.92428
2023-05-20;0.92447
2023-05-19;0.92391
2023-05-18;0.92798
2023-05-17;0.92249
2023-05-16;0.92062
2023-05-15;0.91939
2023-05-14;0.92153
2023-05-13;0.91429
2023-05-12;0.91412
2023-05-11;0.91601
2023-05-10;0.91019
2023-05-09;0.91193
2023-05-08;0.90893
2023-05-07;0.90768
2023-05-06;0.892
2023-05-05;0.89849
2023-05-04;0.9074
2023-05-03;0.90346
2023-05-02;0.90859
2023-05-01;0.91123
2023-04-30;0.9081
2023-04-29;0.89861
2023-04-28;0.89872
2023-04-27;0.90684
2023-04-26;0.90584
2023-04-25;0.91085
2023-04-24;0.90489
2023-04-23;0.90977
2023-04-22;0.90117
2023-04-21;0.90117
2023-04-20;0.91182
2023-04-19;0.91297
2023-04-18;0.91132
2023-04-17;0.91539
2023-04-16;0.91013
2023-04-15;0.90067
2023-04-14;0.90139
2023-04-13;0.90513
2023-04-12;0.90951
2023-04-11;0.91601
2023-04-10;0.9204
2023-04-09;0.90951
2023-04-08;0.90951
2023-04-07;0.90949
2023-04-06;0.91605
2023-04-05;0.91665
2023-04-04;0.91257
2023-04-03;0.91706
2023-04-02;0.92422
2023-04-01;0.92021
2023-03-31;0.9202
2023-03-30;0.91709
2023-03-29;0.92205
2023-03-28;0.92242
2023-03-27;0.92601
2023-03-26;0.92789
2023-03-25;0.92795
