"date";"price";
"2021-04-09";"158.68";
"2021-04-12";"158.79";
"2021-04-13";"158.07";
"2021-04-14";"159.01";
"2021-04-15";"159.94";
"2021-04-16";"160.77";
"2021-04-19";"160.36";
"2021-04-20";"159.21";
"2021-04-21";"158.56";
"2021-04-22";"160.26";
"2021-04-23";"159.83";
"2021-04-26";"161.37";
"2021-04-27";"161.36";
"2021-04-28";"163.03";
"2021-04-29";"162.91";
"2021-04-30";"162.53";
"2021-05-03";"162.93";
"2021-05-04";"162.37";
"2021-05-05";"164.07";
"2021-05-06";"163.99";
"2021-05-07";"166.38";
"2021-05-10";"167.80";
"2021-05-11";"165.39";
"2021-05-12";"165.44";
"2021-05-14";"165.40";
"2021-05-17";"164.58";
"2021-05-18";"165.63";
"2021-05-19";"161.42";
"2021-05-20";"161.91";
"2021-05-21";"163.85";
"2021-05-25";"163.14";
"2021-05-26";"162.09";
"2021-05-27";"163.86";
"2021-05-28";"164.54";
"2021-06-01";"165.72";
"2021-06-02";"165.78";
"2021-06-03";"165.72";
"2021-06-04";"166.97";
"2021-06-07";"167.73";
"2021-06-08";"166.99";
"2021-06-09";"166.78";
"2021-06-10";"166.79";
"2021-06-11";"166.72";
"2021-06-14";"165.90";
"2021-06-15";"164.91";
"2021-06-16";"164.56";
"2021-06-17";"164.04";
"2021-06-18";"161.95";
"2021-06-21";"162.03";
"2021-06-22";"163.54";
"2021-06-24";"163.69";
"2021-06-25";"164.02";
"2021-06-28";"162.86";
"2021-06-29";"163.50";
"2021-06-30";"163.20";
"2021-07-01";"165.05";
"2021-07-02";"164.77";
"2021-07-06";"164.27";
"2021-07-07";"163.99";
"2021-07-08";"160.83";
"2021-07-09";"163.13";
"2021-07-12";"163.49";
"2021-07-13";"164.03";
"2021-07-14";"164.23";
"2021-07-15";"162.88";
"2021-07-16";"162.38";
"2021-07-19";"157.72";
"2021-07-20";"159.41";
"2021-07-21";"161.05";
"2021-07-22";"160.04";
"2021-07-23";"160.87";
"2021-07-26";"161.47";
"2021-07-27";"160.08";
"2021-07-28";"160.47";
"2021-07-29";"161.42";
"2021-07-30";"161.81";
"2021-08-02";"161.53";
"2021-08-03";"159.12";
"2021-08-04";"159.54";
"2021-08-05";"158.80";
"2021-08-06";"159.25";
"2021-08-09";"160.34";
"2021-08-10";"162.70";
"2021-08-11";"163.00";
"2021-08-12";"162.72";
"2021-08-13";"163.25";
"2021-08-16";"161.46";
"2021-08-17";"160.68";
"2021-08-18";"160.66";
"2021-08-19";"158.40";
"2021-08-20";"157.70";
"2021-08-23";"158.86";
"2021-08-24";"160.39";
"2021-08-25";"160.31";
"2021-08-26";"161.04";
"2021-08-27";"160.58";
"2021-08-30";"161.65";
"2021-08-31";"160.73";
"2021-09-01";"159.89";
"2021-09-02";"161.01";
"2021-09-03";"160.83";
"2021-09-07";"161.19";
"2021-09-08";"160.62";
"2021-09-09";"159.85";
"2021-09-10";"160.17";
"2021-09-13";"161.03";
"2021-09-14";"161.24";
"2021-09-15";"161.48";
"2021-09-16";"163.01";
"2021-09-17";"161.91";
"2021-09-20";"159.45";
"2021-09-21";"160.03";
"2021-09-22";"161.69";
"2021-09-23";"162.84";
"2021-09-24";"163.36";
"2021-09-27";"165.09";
"2021-09-28";"163.90";
"2021-09-29";"163.84";
