"date";"price";
"2021-07-02";"534.85";
"2021-07-05";"532.64";
"2021-07-06";"529.17";
"2021-07-07";"535.08";
"2021-07-08";"519.40";
"2021-07-09";"527.38";
"2021-07-12";"531.16";
"2021-07-13";"532.33";
"2021-07-14";"533.82";
"2021-07-15";"531.52";
"2021-07-16";"528.47";
"2021-07-19";"518.68";
"2021-07-20";"515.61";
"2021-07-21";"520.68";
"2021-07-22";"525.86";
"2021-07-23";"516.48";
"2021-07-26";"498.13";
"2021-07-27";"476.99";
"2021-07-28";"481.14";
"2021-07-29";"504.36";
"2021-07-30";"500.81";
"2021-08-02";"510.31";
"2021-08-03";"510.46";
"2021-08-04";"516.55";
"2021-08-05";"513.31";
"2021-08-06";"508.79";
"2021-08-09";"505.38";
"2021-08-10";"508.42";
"2021-08-11";"510.88";
"2021-08-12";"504.41";
"2021-08-13";"501.80";
"2021-08-16";"494.03";
"2021-08-17";"480.72";
"2021-08-18";"480.45";
"2021-08-19";"471.12";
"2021-08-20";"461.89";
"2021-08-23";"469.89";
"2021-08-24";"481.47";
"2021-08-25";"481.62";
"2021-08-26";"476.32";
"2021-08-27";"475.95";
"2021-08-30";"478.88";
"2021-08-31";"484.68";
"2021-09-01";"487.88";
"2021-09-02";"492.36";
"2021-09-03";"489.95";
"2021-09-06";"497.21";
"2021-09-07";"499.00";
"2021-09-08";"500.81";
"2021-09-09";"490.83";
"2021-09-10";"495.14";
"2021-09-13";"489.84";
"2021-09-14";"484.46";
"2021-09-15";"474.61";
"2021-09-16";"464.90";
"2021-09-17";"469.42";
"2021-09-20";"455.47";
"2021-09-21";"453.86";
"2021-09-23";"459.03";
"2021-09-24";"452.78";
"2021-09-27";"450.97";
"2021-09-28";"455.40";
"2021-09-29";"452.69";
"2021-09-30";"456.95";
"2021-10-04";"452.82";
"2021-10-05";"450.57";
"2021-10-06";"444.66";
"2021-10-07";"457.40";
"2021-10-08";"467.28";
"2021-10-11";"470.61";
"2021-10-12";"465.62";
"2021-10-15";"477.25";
"2021-10-18";"478.46";
"2021-10-19";"484.07";
"2021-10-20";"491.88";
"2021-10-21";"485.09";
"2021-10-22";"490.22";
"2021-10-25";"490.54";
"2021-10-26";"489.41";
"2021-10-27";"478.11";
"2021-10-28";"476.45";
"2021-10-29";"478.50";
"2021-11-01";"481.66";
"2021-11-02";"471.41";
"2021-11-03";"468.44";
"2021-11-04";"476.34";
"2021-11-05";"470.33";
"2021-11-08";"472.01";
"2021-11-09";"470.23";
"2021-11-10";"471.10";
"2021-11-11";"475.08";
"2021-11-12";"478.78";
"2021-11-15";"483.69";
"2021-11-16";"485.96";
"2021-11-17";"486.67";
"2021-11-18";"476.98";
"2021-11-19";"474.81";
"2021-11-22";"475.69";
"2021-11-23";"470.75";
"2021-11-24";"463.82";
"2021-11-25";"468.26";
"2021-11-26";"457.88";
"2021-11-29";"459.01";
"2021-11-30";"458.31";
"2021-12-01";"457.18";
"2021-12-02";"452.04";
"2021-12-03";"450.92";
"2021-12-06";"437.92";
"2021-12-07";"450.07";
"2021-12-08";"450.98";
"2021-12-09";"453.67";
"2021-12-10";"454.35";
"2021-12-13";"451.99";
"2021-12-14";"444.32";
"2021-12-15";"441.31";
"2021-12-16";"445.65";
"2021-12-17";"431.58";
"2021-12-20";"425.02";
"2021-12-21";"427.45";
"2021-12-22";"432.77";
"2021-12-23";"436.20";
"2021-12-28";"435.76";
"2021-12-29";"430.18";
"2021-12-30";"429.75";
"2021-12-31";"439.92";
"2022-01-03";"437.85";
"2022-01-04";"439.12";
"2022-01-05";"428.78";
"2022-01-06";"427.36";
"2022-01-07";"429.14";
"2022-01-10";"433.37";
"2022-01-11";"433.28";
"2022-01-12";"449.58";
"2022-01-13";"444.79";
"2022-01-14";"441.27";
"2022-01-17";"443.59";
"2022-01-18";"438.67";
"2022-01-19";"444.07";
"2022-01-20";"450.46";
"2022-01-21";"446.66";
"2022-01-24";"432.77";
"2022-01-25";"428.05";
"2022-01-26";"436.32";
"2022-01-27";"424.84";
"2022-01-28";"411.15";
"2022-01-31";"417.13";
"2022-02-04";"425.24";
"2022-02-07";"426.14";
"2022-02-08";"421.21";
"2022-02-09";"430.62";
"2022-02-10";"429.24";
"2022-02-11";"426.84";
"2022-02-14";"419.31";
"2022-02-15";"426.69";
"2022-02-16";"426.26";
"2022-02-17";"429.65";
"2022-02-18";"425.71";
"2022-02-21";"417.15";
"2022-02-22";"415.95";
"2022-02-23";"416.30";
"2022-02-24";"395.46";
"2022-02-25";"404.56";
"2022-02-28";"404.62";
"2022-03-01";"406.12";
"2022-03-02";"404.87";
"2022-03-03";"400.27";
"2022-03-04";"387.15";
"2022-03-07";"376.99";
"2022-03-08";"373.76";
"2022-03-09";"372.88";
"2022-03-10";"371.80";
"2022-03-11";"369.12";
"2022-03-14";"342.78";
"2022-03-15";"326.61";
"2022-03-16";"363.95";
"2022-03-17";"371.86";
"2022-03-18";"379.06";
"2022-03-21";"378.01";
"2022-03-22";"388.85";
"2022-03-23";"383.79";
"2022-03-24";"384.84";
"2022-03-25";"378.31";
"2022-03-28";"379.43";
"2022-03-29";"386.70";
"2022-03-30";"389.41";
"2022-03-31";"382.41";
"2022-04-01";"389.07";
"2022-04-04";"390.78";
"2022-04-06";"381.36";
"2022-04-07";"374.61";
"2022-04-08";"375.19";
"2022-04-11";"364.55";
"2022-04-12";"370.02";
"2022-04-13";"367.26";
"2022-04-14";"370.78";
"2022-04-19";"361.84";
"2022-04-20";"361.51";
"2022-04-21";"351.40";
"2022-04-22";"344.55";
"2022-04-25";"329.16";
"2022-04-26";"329.71";
"2022-04-27";"333.69";
"2022-04-28";"339.53";
"2022-04-29";"356.55";
"2022-05-03";"355.91";
"2022-05-04";"350.83";
"2022-05-05";"349.65";
"2022-05-06";"335.95";
"2022-05-10";"328.62";
"2022-05-11";"331.38";
"2022-05-12";"326.10";
"2022-05-13";"332.43";
"2022-05-16";"336.82";
"2022-05-17";"349.25";
"2022-05-18";"344.36";
"2022-05-19";"339.61";
"2022-05-20";"350.09";
"2022-05-23";"348.20";
"2022-05-24";"340.40";
"2022-05-25";"337.02";
"2022-05-26";"339.02";
"2022-05-27";"349.21";
"2022-05-30";"356.13";
"2022-05-31";"366.30";
"2022-06-01";"363.30";
"2022-06-02";"363.86";
"2022-06-06";"377.54";
"2022-06-07";"374.95";
"2022-06-08";"386.03";
"2022-06-09";"385.10";
"2022-06-10";"382.77";
"2022-06-13";"373.22";
"2022-06-14";"369.56";
"2022-06-15";"378.26";
"2022-06-16";"373.13";
"2022-06-17";"383.83";
"2022-06-20";"383.54";
"2022-06-21";"386.89";
"2022-06-22";"381.19";
"2022-06-23";"390.09";
"2022-06-24";"399.14";
"2022-06-27";"404.90";
"2022-06-28";"408.43";
"2022-06-29";"396.82";
"2022-06-30";"392.32";
