"date";"price";
"2020-10-12";"196.67";
"2020-10-14";"197.84";
"2020-10-15";"195.47";
"2020-10-16";"197.19";
"2020-10-19";"195.14";
"2020-10-20";"196.37";
"2020-10-21";"197.04";
"2020-10-22";"196.75";
"2020-10-23";"193.89";
"2020-10-27";"195.79";
"2020-10-28";"198.35";
"2020-10-29";"202.05";
"2020-10-30";"197.82";
"2020-11-02";"200.81";
"2020-11-03";"199.85";
"2020-11-04";"203.03";
"2020-11-05";"208.51";
"2020-11-06";"207.18";
"2020-11-09";"212.46";
"2020-11-10";"205.08";
"2020-11-11";"200.80";
"2020-11-12";"204.22";
"2020-11-13";"208.47";
"2020-11-16";"209.23";
"2020-11-17";"206.13";
"2020-11-18";"206.16";
"2020-11-19";"205.75";
"2020-11-20";"208.86";
"2020-11-23";"210.87";
"2020-11-24";"210.87";
"2020-11-25";"205.94";
"2020-11-26";"207.72";
"2020-11-27";"208.31";
"2020-11-30";"203.36";
"2020-12-01";"205.83";
"2020-12-02";"202.21";
"2020-12-03";"203.02";
"2020-12-04";"205.36";
"2020-12-07";"204.22";
"2020-12-08";"206.18";
"2020-12-09";"206.76";
"2020-12-10";"205.28";
"2020-12-11";"206.92";
"2020-12-14";"205.94";
"2020-12-15";"206.41";
"2020-12-16";"207.76";
"2020-12-17";"209.71";
"2020-12-18";"208.98";
"2020-12-21";"211.66";
"2020-12-22";"210.22";
"2020-12-23";"211.86";
"2020-12-28";"206.74";
"2020-12-29";"208.72";
"2020-12-30";"215.62";
"2020-12-31";"218.63";
"2021-01-04";"220.52";
"2021-01-05";"223.52";
"2021-01-06";"225.93";
"2021-01-07";"226.69";
"2021-01-08";"230.04";
"2021-01-11";"230.35";
"2021-01-12";"232.60";
"2021-01-13";"232.42";
"2021-01-14";"235.41";
"2021-01-15";"237.14";
"2021-01-18";"240.53";
"2021-01-19";"241.72";
"2021-01-20";"250.44";
"2021-01-21";"249.26";
"2021-01-22";"250.10";
"2021-01-25";"259.61";
"2021-01-26";"250.32";
"2021-01-27";"249.20";
"2021-01-28";"239.80";
"2021-01-29";"239.16";
"2021-02-01";"246.57";
"2021-02-02";"253.20";
"2021-02-03";"256.96";
"2021-02-04";"257.06";
"2021-02-05";"258.32";
"2021-02-08";"259.90";
"2021-02-09";"262.51";
"2021-02-10";"267.41";
"2021-02-11";"268.16";
"2021-02-16";"269.98";
"2021-02-17";"274.48";
"2021-02-18";"264.34";
"2021-02-19";"263.18";
"2021-02-22";"252.78";
"2021-02-23";"248.08";
"2021-02-24";"240.17";
"2021-02-25";"240.49";
"2021-02-26";"231.50";
"2021-03-01";"240.21";
"2021-03-02";"238.33";
"2021-03-03";"241.31";
"2021-03-04";"228.96";
"2021-03-05";"227.81";
"2021-03-08";"218.43";
"2021-03-09";"216.36";
"2021-03-10";"221.37";
"2021-03-11";"228.09";
"2021-03-12";"225.45";
"2021-03-15";"220.48";
"2021-03-16";"225.17";
"2021-03-17";"224.77";
"2021-03-18";"227.94";
"2021-03-19";"224.40";
"2021-03-22";"222.91";
"2021-03-23";"220.68";
"2021-03-24";"216.84";
"2021-03-25";"215.19";
"2021-03-26";"219.14";
"2021-03-29";"217.84";
"2021-03-30";"222.03";
"2021-03-31";"221.41";
"2021-04-01";"228.94";
"2021-04-07";"224.10";
"2021-04-08";"224.96";
"2021-04-09";"221.08";
"2021-04-12";"218.47";
"2021-04-13";"217.45";
"2021-04-14";"221.24";
"2021-04-15";"219.32";
"2021-04-16";"220.53";
"2021-04-19";"222.89";
"2021-04-20";"222.57";
"2021-04-21";"220.97";
"2021-04-22";"223.03";
"2021-04-23";"226.82";
"2021-04-26";"225.20";
"2021-04-27";"225.80";
"2021-04-28";"228.25";
"2021-04-29";"227.99";
"2021-04-30";"225.72";
"2021-05-03";"224.20";
"2021-05-04";"224.86";
"2021-05-05";"223.23";
"2021-05-06";"221.05";
"2021-05-07";"217.05";
"2021-05-10";"213.32";
"2021-05-11";"210.82";
"2021-05-12";"214.91";
"2021-05-13";"210.45";
"2021-05-14";"210.49";
"2021-05-17";"215.21";
"2021-05-18";"216.97";
"2021-05-20";"218.78";
"2021-05-21";"219.86";
"2021-05-24";"218.31";
"2021-05-25";"223.18";
"2021-05-26";"224.45";
"2021-05-27";"225.31";
"2021-05-28";"224.35";
"2021-05-31";"227.89";
"2021-06-01";"230.27";
"2021-06-02";"228.92";
"2021-06-03";"225.98";
"2021-06-04";"225.54";
"2021-06-07";"223.84";
"2021-06-08";"222.14";
"2021-06-09";"222.52";
"2021-06-10";"223.45";
"2021-06-11";"225.26";
"2021-06-15";"224.49";
"2021-06-16";"220.36";
"2021-06-17";"225.41";
"2021-06-18";"229.73";
"2021-06-21";"227.05";
"2021-06-22";"226.74";
"2021-06-23";"229.41";
"2021-06-24";"230.79";
"2021-06-25";"235.45";
"2021-06-28";"237.60";
"2021-06-29";"237.52";
"2021-06-30";"238.05";
"2021-07-02";"232.14";
"2021-07-05";"228.92";
"2021-07-06";"226.08";
"2021-07-07";"228.01";
"2021-07-08";"219.00";
"2021-07-09";"221.13";
"2021-07-12";"224.18";
"2021-07-13";"227.66";
"2021-07-14";"227.21";
"2021-07-15";"230.49";
"2021-07-16";"227.95";
"2021-07-19";"224.05";
"2021-07-20";"224.14";
"2021-07-21";"224.68";
"2021-07-22";"225.51";
"2021-07-23";"221.06";
"2021-07-26";"207.40";
"2021-07-27";"194.12";
"2021-07-28";"200.50";
"2021-07-29";"208.47";
"2021-07-30";"204.46";
"2021-08-02";"206.40";
"2021-08-03";"206.46";
"2021-08-04";"209.11";
"2021-08-05";"207.31";
"2021-08-06";"206.40";
"2021-08-09";"208.67";
"2021-08-10";"213.86";
"2021-08-11";"211.86";
"2021-08-12";"208.76";
"2021-08-13";"206.46";
"2021-08-16";"203.86";
"2021-08-17";"198.02";
"2021-08-18";"199.21";
"2021-08-19";"195.85";
"2021-08-20";"191.60";
"2021-08-23";"194.07";
"2021-08-24";"201.47";
"2021-08-25";"201.65";
"2021-08-26";"198.19";
"2021-08-27";"197.68";
"2021-08-30";"198.16";
"2021-08-31";"199.56";
"2021-09-01";"200.39";
"2021-09-02";"200.57";
"2021-09-03";"198.26";
"2021-09-06";"201.22";
"2021-09-07";"203.99";
"2021-09-08";"203.78";
"2021-09-09";"198.32";
"2021-09-10";"200.86";
"2021-09-13";"197.03";
"2021-09-14";"195.07";
"2021-09-15";"191.33";
"2021-09-16";"189.07";
"2021-09-17";"192.42";
"2021-09-20";"187.90";
"2021-09-21";"187.61";
"2021-09-23";"189.76";
"2021-09-24";"189.23";
"2021-09-27";"190.36";
"2021-09-28";"193.07";
"2021-09-29";"192.89";
"2021-09-30";"194.64";
"2021-10-04";"189.19";
"2021-10-05";"189.11";
"2021-10-06";"188.09";
"2021-10-07";"194.79";
"2021-10-08";"195.83";
"2021-10-11";"198.60";
