"date";"price";
"2020-10-12";"86.06";
"2020-10-13";"85.85";
"2020-10-14";"85.93";
"2020-10-15";"84.36";
"2020-10-16";"85.27";
"2020-10-19";"84.77";
"2020-10-20";"84.41";
"2020-10-21";"83.20";
"2020-10-22";"82.69";
"2020-10-23";"82.64";
"2020-10-26";"81.34";
"2020-10-27";"81.04";
"2020-10-28";"78.90";
"2020-10-29";"78.69";
"2020-10-30";"78.71";
"2020-11-02";"79.45";
"2020-11-03";"80.69";
"2020-11-04";"82.73";
"2020-11-05";"83.76";
"2020-11-06";"83.60";
"2020-11-09";"84.14";
"2020-11-10";"83.98";
"2020-11-11";"85.37";
"2020-11-12";"84.78";
"2020-11-13";"84.85";
"2020-11-16";"85.22";
"2020-11-17";"84.74";
"2020-11-18";"84.82";
"2020-11-19";"84.31";
"2020-11-20";"84.80";
"2020-11-23";"83.72";
"2020-11-24";"83.06";
"2020-11-25";"83.46";
"2020-11-26";"83.74";
"2020-11-27";"84.24";
"2020-11-30";"84.19";
"2020-12-01";"83.77";
"2020-12-02";"83.58";
"2020-12-03";"83.45";
"2020-12-04";"83.70";
"2020-12-07";"83.68";
"2020-12-08";"84.28";
"2020-12-09";"84.33";
"2020-12-10";"83.98";
"2020-12-11";"83.87";
"2020-12-14";"84.38";
"2020-12-15";"84.25";
"2020-12-16";"84.95";
"2020-12-17";"85.22";
"2020-12-18";"85.38";
"2020-12-21";"84.23";
"2020-12-22";"85.17";
"2020-12-23";"85.43";
"2020-12-28";"85.89";
"2020-12-29";"86.89";
"2020-12-30";"86.82";
"2020-12-31";"86.41";
"2021-01-04";"87.32";
"2021-01-05";"86.85";
"2021-01-06";"87.04";
"2021-01-07";"87.10";
"2021-01-08";"88.07";
"2021-01-11";"87.71";
"2021-01-12";"87.58";
"2021-01-13";"87.86";
"2021-01-14";"88.05";
"2021-01-15";"87.32";
"2021-01-18";"87.42";
"2021-01-19";"87.74";
"2021-01-20";"88.35";
"2021-01-21";"89.03";
"2021-01-22";"88.93";
"2021-01-25";"88.67";
"2021-01-26";"89.23";
"2021-01-27";"88.48";
"2021-01-28";"88.17";
"2021-01-29";"86.76";
"2021-02-01";"87.83";
"2021-02-02";"88.80";
"2021-02-03";"88.89";
"2021-02-04";"89.40";
"2021-02-05";"89.16";
"2021-02-08";"89.33";
"2021-02-09";"89.31";
"2021-02-10";"88.98";
