"date";"price";
"2020-10-12";"111.68";
"2020-10-13";"111.87";
"2020-10-14";"111.98";
"2020-10-15";"111.93";
"2020-10-16";"111.91";
"2020-10-19";"111.89";
"2020-10-20";"111.88";
"2020-10-21";"111.91";
"2020-10-22";"111.79";
"2020-10-23";"111.77";
"2020-10-26";"111.96";
"2020-10-27";"112.16";
"2020-10-28";"112.44";
"2020-10-29";"112.44";
"2020-10-30";"111.95";
"2020-11-02";"111.71";
"2020-11-03";"111.53";
"2020-11-04";"111.59";
"2020-11-05";"112.03";
"2020-11-06";"112.10";
"2020-11-09";"111.13";
"2020-11-10";"110.06";
"2020-11-11";"110.24";
"2020-11-12";"110.54";
"2020-11-13";"110.64";
"2020-11-16";"110.38";
"2020-11-17";"110.47";
"2020-11-18";"110.89";
"2020-11-19";"111.03";
"2020-11-20";"111.28";
"2020-11-23";"111.20";
"2020-11-24";"110.92";
"2020-11-25";"110.87";
"2020-11-26";"110.81";
"2020-11-27";"111.01";
"2020-11-30";"111.03";
"2020-12-01";"111.26";
"2020-12-02";"110.99";
"2020-12-03";"111.16";
"2020-12-04";"111.45";
"2020-12-07";"111.46";
"2020-12-08";"111.52";
"2020-12-09";"111.42";
"2020-12-10";"111.30";
"2020-12-11";"111.62";
"2020-12-14";"111.55";
"2020-12-15";"111.45";
"2020-12-16";"111.58";
"2020-12-17";"111.92";
"2020-12-18";"112.17";
"2020-12-21";"112.28";
"2020-12-22";"112.35";
"2020-12-23";"112.37";
"2020-12-28";"112.26";
"2020-12-29";"112.09";
"2020-12-30";"112.28";
"2020-12-31";"112.21";
"2021-01-04";"112.71";
"2021-01-05";"112.82";
"2021-01-06";"112.83";
"2021-01-07";"113.10";
"2021-01-08";"113.37";
"2021-01-11";"113.30";
"2021-01-12";"113.36";
"2021-01-13";"113.32";
"2021-01-14";"113.38";
"2021-01-15";"113.38";
"2021-01-18";"113.57";
"2021-01-19";"113.61";
"2021-01-20";"113.76";
"2021-01-21";"113.89";
"2021-01-22";"114.12";
"2021-01-25";"113.73";
"2021-01-26";"112.87";
"2021-01-27";"112.27";
"2021-01-28";"112.48";
"2021-01-29";"112.70";
"2021-02-01";"113.01";
"2021-02-02";"113.32";
"2021-02-03";"113.45";
"2021-02-04";"113.17";
"2021-02-05";"113.70";
"2021-02-08";"113.72";
"2021-02-09";"114.00";
"2021-02-10";"114.13";
"2021-02-11";"114.57";
"2021-02-12";"114.65";
"2021-02-15";"114.80";
"2021-02-16";"114.58";
"2021-02-17";"114.40";
"2021-02-18";"114.23";
"2021-02-19";"114.15";
"2021-02-22";"113.52";
"2021-02-23";"113.08";
"2021-02-24";"112.67";
"2021-02-25";"113.14";
"2021-02-26";"112.75";
"2021-03-01";"112.90";
"2021-03-02";"112.87";
"2021-03-03";"113.07";
"2021-03-04";"112.49";
"2021-03-05";"112.33";
"2021-03-08";"111.87";
"2021-03-09";"111.89";
"2021-03-10";"111.78";
"2021-03-11";"112.47";
"2021-03-12";"112.23";
"2021-03-15";"111.92";
"2021-03-16";"111.97";
"2021-03-17";"111.82";
"2021-03-18";"111.95";
"2021-03-19";"111.90";
"2021-03-22";"112.00";
"2021-03-23";"111.49";
"2021-03-24";"111.40";
"2021-03-25";"111.46";
"2021-03-26";"111.48";
"2021-03-29";"111.49";
"2021-03-30";"111.63";
"2021-03-31";"111.69";
"2021-04-01";"111.84";
"2021-04-06";"111.61";
"2021-04-07";"111.47";
"2021-04-08";"111.60";
"2021-04-09";"111.44";
"2021-04-12";"111.31";
"2021-04-13";"111.42";
"2021-04-14";"111.38";
"2021-04-15";"111.19";
"2021-04-16";"111.15";
