"date";"price";
"2020-10-12";"140.82";
"2020-10-13";"141.35";
"2020-10-14";"141.10";
"2020-10-15";"140.52";
"2020-10-16";"140.93";
"2020-10-19";"140.78";
"2020-10-20";"141.17";
"2020-10-21";"141.61";
"2020-10-22";"141.92";
"2020-10-23";"141.53";
"2020-10-26";"141.05";
"2020-10-27";"140.87";
"2020-10-28";"139.58";
"2020-10-29";"139.47";
"2020-10-30";"138.07";
"2020-11-02";"139.39";
"2020-11-03";"140.14";
"2020-11-04";"142.37";
"2020-11-05";"144.72";
"2020-11-06";"145.15";
"2020-11-09";"149.20";
"2020-11-10";"149.10";
"2020-11-11";"149.58";
"2020-11-12";"149.10";
"2020-11-13";"149.11";
"2020-11-16";"151.02";
"2020-11-17";"150.91";
"2020-11-18";"152.28";
"2020-11-19";"152.67";
"2020-11-20";"153.82";
"2020-11-23";"153.59";
"2020-11-24";"154.19";
"2020-11-25";"152.13";
"2020-11-26";"153.03";
"2020-11-27";"152.83";
"2020-11-30";"150.44";
"2020-12-01";"151.92";
"2020-12-02";"151.45";
"2020-12-03";"151.52";
"2020-12-04";"152.99";
"2020-12-07";"153.21";
"2020-12-08";"154.44";
"2020-12-09";"155.77";
"2020-12-10";"154.69";
"2020-12-11";"155.46";
"2020-12-14";"155.60";
"2020-12-15";"155.82";
"2020-12-16";"157.32";
"2020-12-17";"157.66";
"2020-12-18";"156.93";
"2020-12-21";"154.21";
"2020-12-22";"153.69";
"2020-12-23";"154.99";
"2020-12-28";"155.83";
"2020-12-29";"156.37";
"2020-12-30";"157.17";
"2020-12-31";"158.22";
"2021-01-04";"160.15";
"2021-01-05";"161.08";
"2021-01-06";"160.55";
"2021-01-07";"162.27";
"2021-01-08";"164.63";
"2021-01-11";"165.71";
"2021-01-12";"166.44";
"2021-01-13";"168.09";
"2021-01-14";"168.44";
"2021-01-15";"166.87";
"2021-01-18";"166.90";
"2021-01-19";"168.43";
"2021-01-20";"169.87";
"2021-01-21";"169.20";
"2021-01-22";"167.93";
"2021-01-25";"168.95";
"2021-01-26";"167.75";
"2021-01-27";"168.45";
"2021-01-28";"165.67";
"2021-01-29";"163.95";
"2021-02-01";"166.19";
"2021-02-02";"170.31";
"2021-02-03";"171.05";
"2021-02-04";"170.80";
"2021-02-05";"171.10";
"2021-02-08";"171.52";
"2021-02-09";"172.10";
"2021-02-10";"171.88";
"2021-02-11";"172.50";
"2021-02-16";"174.03";
"2021-02-17";"174.55";
"2021-02-18";"172.69";
"2021-02-19";"172.39";
"2021-02-22";"169.05";
"2021-02-23";"168.25";
"2021-02-24";"167.48";
"2021-02-25";"166.23";
"2021-02-26";"162.79";
"2021-03-01";"165.92";
"2021-03-02";"166.08";
"2021-03-03";"166.62";
"2021-03-04";"165.86";
"2021-03-05";"165.68";
"2021-03-08";"163.61";
"2021-03-09";"162.63";
"2021-03-10";"163.52";
"2021-03-11";"166.18";
"2021-03-12";"165.66";
"2021-03-15";"164.16";
"2021-03-16";"166.95";
"2021-03-17";"166.34";
"2021-03-18";"167.02";
"2021-03-19";"166.55";
"2021-03-22";"165.41";
"2021-03-23";"165.35";
"2021-03-24";"164.38";
"2021-03-25";"163.20";
"2021-03-26";"165.42";
"2021-03-29";"165.10";
"2021-03-30";"167.06";
"2021-03-31";"167.08";
"2021-04-01";"168.51";
"2021-04-06";"168.39";
"2021-04-07";"168.06";
"2021-04-08";"169.19";
"2021-04-09";"168.20";
"2021-04-12";"165.90";
"2021-04-13";"166.34";
"2021-04-14";"167.04";
"2021-04-15";"168.37";
"2021-04-16";"169.50";
"2021-04-19";"169.60";
"2021-04-20";"169.33";
"2021-04-21";"168.51";
"2021-04-22";"169.51";
"2021-04-23";"170.20";
"2021-04-26";"170.82";
"2021-04-27";"171.54";
"2021-04-28";"171.98";
"2021-04-29";"172.08";
"2021-04-30";"171.55";
"2021-05-03";"170.66";
"2021-05-04";"170.74";
"2021-05-05";"171.29";
"2021-05-06";"170.76";
"2021-05-07";"171.65";
"2021-05-10";"171.81";
"2021-05-11";"169.71";
"2021-05-12";"169.19";
"2021-05-13";"168.82";
"2021-05-14";"168.72";
"2021-05-17";"168.79";
"2021-05-18";"170.79";
"2021-05-19";"169.43";
"2021-05-20";"170.86";
"2021-05-21";"172.19";
"2021-05-24";"172.78";
"2021-05-25";"173.79";
"2021-05-26";"175.24";
"2021-05-27";"177.06";
"2021-05-28";"177.68";
"2021-05-31";"177.95";
"2021-06-01";"177.72";
"2021-06-02";"178.41";
"2021-06-03";"178.47";
"2021-06-04";"178.68";
"2021-06-07";"179.40";
"2021-06-08";"178.66";
"2021-06-09";"177.85";
"2021-06-10";"179.01";
"2021-06-11";"179.20";
"2021-06-14";"179.24";
"2021-06-15";"178.84";
"2021-06-16";"177.57";
"2021-06-17";"180.18";
"2021-06-18";"180.51";
"2021-06-21";"179.23";
"2021-06-22";"178.85";
"2021-06-23";"179.11";
"2021-06-24";"179.53";
"2021-06-25";"180.53";
"2021-06-28";"181.27";
"2021-06-29";"181.04";
"2021-06-30";"181.49";
"2021-07-01";"181.77";
"2021-07-02";"182.40";
"2021-07-05";"182.76";
"2021-07-06";"182.06";
"2021-07-07";"183.26";
"2021-07-08";"180.79";
"2021-07-09";"180.53";
"2021-07-12";"181.29";
"2021-07-13";"181.76";
"2021-07-14";"182.34";
"2021-07-15";"182.85";
"2021-07-16";"182.10";
"2021-07-19";"179.18";
"2021-07-20";"178.66";
"2021-07-21";"179.63";
"2021-07-22";"179.58";
"2021-07-23";"179.81";
"2021-07-26";"178.57";
"2021-07-27";"177.49";
"2021-07-28";"177.79";
"2021-07-29";"178.81";
"2021-07-30";"178.13";
"2021-08-02";"179.39";
"2021-08-03";"179.85";
"2021-08-04";"181.59";
"2021-08-05";"182.41";
"2021-08-06";"181.83";
"2021-08-09";"182.44";
"2021-08-10";"182.91";
"2021-08-11";"182.70";
"2021-08-12";"182.61";
"2021-08-13";"180.79";
"2021-08-16";"180.57";
"2021-08-17";"179.72";
"2021-08-18";"181.01";
"2021-08-19";"179.10";
"2021-08-20";"177.64";
