"date";"price";
"2020-10-13";"129.74";
"2020-10-14";"129.75";
"2020-10-15";"128.42";
"2020-10-16";"128.97";
"2020-10-19";"129.78";
"2020-10-20";"129.59";
"2020-10-21";"129.52";
"2020-10-22";"129.34";
"2020-10-23";"129.92";
"2020-10-26";"129.26";
"2020-10-27";"127.80";
"2020-10-28";"126.65";
"2020-10-29";"126.55";
"2020-10-30";"126.09";
"2020-11-02";"126.60";
"2020-11-03";"130.15";
"2020-11-04";"130.70";
"2020-11-05";"132.59";
"2020-11-06";"134.68";
"2020-11-09";"139.12";
"2020-11-10";"138.90";
"2020-11-12";"140.78";
"2020-11-13";"139.54";
"2020-11-16";"141.04";
"2020-11-17";"142.52";
"2020-11-18";"142.30";
"2020-11-19";"141.72";
"2020-11-20";"142.94";
"2020-11-23";"144.58";
"2020-11-24";"146.94";
"2020-11-25";"147.28";
"2020-11-27";"148.33";
"2020-11-30";"149.69";
"2020-12-01";"149.41";
"2020-12-02";"148.96";
"2020-12-03";"148.22";
"2020-12-04";"149.24";
"2020-12-07";"149.72";
"2020-12-08";"150.72";
"2020-12-09";"152.05";
"2020-12-10";"150.77";
"2020-12-11";"150.50";
"2020-12-14";"151.55";
"2020-12-15";"152.04";
"2020-12-16";"155.40";
"2020-12-17";"155.65";
"2020-12-18";"156.48";
"2020-12-21";"155.95";
"2020-12-22";"157.25";
"2020-12-23";"160.02";
"2020-12-28";"162.87";
"2020-12-29";"164.14";
"2020-12-30";"163.83";
"2021-01-04";"168.66";
"2021-01-05";"168.47";
"2021-01-06";"171.07";
"2021-01-07";"176.84";
"2021-01-08";"180.93";
"2021-01-11";"178.12";
"2021-01-12";"178.22";
"2021-01-13";"179.28";
"2021-01-14";"178.67";
"2021-01-15";"177.50";
"2021-01-19";"175.31";
"2021-01-20";"178.34";
"2021-01-21";"180.85";
"2021-01-22";"181.70";
"2021-01-25";"182.81";
"2021-01-26";"180.87";
"2021-01-27";"179.15";
"2021-01-28";"170.83";
"2021-01-29";"171.67";
"2021-02-01";"170.33";
"2021-02-02";"173.26";
"2021-02-03";"174.18";
"2021-02-04";"173.76";
"2021-02-05";"173.83";
"2021-02-08";"175.38";
"2021-02-09";"176.60";
"2021-02-10";"177.75";
"2021-02-11";"177.27";
"2021-02-12";"177.27";
"2021-02-16";"180.98";
"2021-02-17";"179.20";
"2021-02-18";"176.71";
"2021-02-19";"174.44";
"2021-02-22";"174.72";
"2021-02-23";"172.13";
"2021-02-24";"171.35";
"2021-02-25";"174.00";
"2021-02-26";"169.07";
"2021-03-01";"170.26";
"2021-03-02";"171.30";
"2021-03-03";"171.28";
"2021-03-04";"166.02";
"2021-03-05";"162.17";
"2021-03-08";"159.99";
"2021-03-09";"162.11";
"2021-03-10";"163.16";
"2021-03-11";"166.92";
"2021-03-12";"167.95";
"2021-03-15";"168.07";
