"date";"price";
"2021-02-17";"111.07";
"2021-02-18";"110.82";
"2021-02-19";"110.51";
"2021-02-22";"110.47";
"2021-02-23";"111.03";
"2021-02-24";"110.10";
"2021-02-25";"110.72";
"2021-02-26";"111.63";
"2021-03-01";"111.38";
"2021-03-02";"111.46";
"2021-03-03";"111.66";
"2021-03-04";"112.84";
"2021-03-05";"112.56";
"2021-03-08";"112.43";
"2021-03-09";"112.46";
"2021-03-10";"112.16";
"2021-03-11";"112.17";
"2021-03-12";"112.33";
"2021-03-15";"112.59";
"2021-03-16";"112.53";
"2021-03-17";"112.42";
"2021-03-18";"112.60";
"2021-03-19";"112.31";
"2021-03-22";"112.95";
"2021-03-23";"113.25";
"2021-03-24";"113.63";
"2021-03-25";"113.27";
"2021-03-26";"113.21";
"2021-03-29";"113.51";
"2021-03-30";"113.55";
"2021-03-31";"113.16";
"2021-04-01";"113.18";
"2021-04-06";"112.28";
"2021-04-07";"112.28";
"2021-04-08";"112.24";
"2021-04-09";"112.26";
"2021-04-12";"112.30";
"2021-04-13";"112.21";
"2021-04-14";"112.21";
"2021-04-15";"112.33";
"2021-04-16";"112.20";
"2021-04-19";"112.25";
"2021-04-20";"112.52";
"2021-04-21";"112.72";
"2021-04-22";"112.36";
"2021-04-23";"112.08";
"2021-04-26";"112.14";
"2021-04-27";"112.03";
"2021-04-28";"112.17";
"2021-04-29";"112.80";
"2021-05-05";"112.69";
"2021-05-06";"112.19";
"2021-05-07";"112.75";
"2021-05-10";"112.64";
"2021-05-11";"113.20";
"2021-05-12";"113.02";
"2021-05-14";"112.57";
"2021-05-17";"112.20";
"2021-05-18";"112.03";
"2021-05-19";"112.19";
"2021-05-20";"112.56";
"2021-05-21";"112.38";
"2021-05-25";"113.07";
"2021-05-26";"113.50";
"2021-05-27";"113.87";
"2021-05-28";"113.57";
"2021-05-31";"113.14";
"2021-06-01";"113.30";
"2021-06-02";"113.84";
"2021-06-03";"113.28";
"2021-06-04";"113.10";
"2021-06-07";"113.08";
"2021-06-08";"113.23";
"2021-06-09";"113.34";
"2021-06-10";"113.86";
"2021-06-14";"113.50";
"2021-06-15";"113.61";
"2021-06-16";"114.65";
"2021-06-17";"115.32";
"2021-06-18";"114.40";
"2021-06-21";"114.49";
