"date";"price";
"2020-10-13";"4.60";
"2020-10-14";"4.65";
"2020-10-15";"4.52";
"2020-10-16";"4.58";
"2020-10-19";"4.54";
"2020-10-20";"4.51";
"2020-10-21";"4.45";
"2020-10-22";"4.45";
"2020-10-23";"4.56";
"2020-10-26";"4.41";
"2020-10-27";"4.38";
"2020-10-28";"4.25";
"2020-10-29";"4.28";
"2020-10-30";"4.27";
"2020-11-02";"4.39";
"2020-11-03";"4.47";
"2020-11-04";"4.41";
"2020-11-05";"4.47";
"2020-11-06";"4.46";
"2020-11-09";"4.72";
"2020-11-10";"4.80";
"2020-11-12";"4.83";
"2020-11-13";"4.80";
"2020-11-16";"4.94";
"2020-11-17";"4.89";
"2020-11-18";"5.06";
"2020-11-19";"5.00";
"2020-11-20";"5.04";
"2020-11-23";"5.17";
"2020-11-24";"5.44";
"2020-11-25";"5.36";
"2020-11-27";"5.40";
"2020-11-30";"5.34";
"2020-12-01";"5.25";
"2020-12-02";"5.16";
"2020-12-03";"5.23";
"2020-12-04";"5.42";
"2020-12-07";"5.39";
"2020-12-08";"5.46";
"2020-12-09";"5.53";
"2020-12-10";"5.51";
"2020-12-11";"5.54";
"2020-12-14";"5.52";
"2020-12-15";"5.43";
"2020-12-16";"5.46";
"2020-12-17";"5.40";
"2020-12-18";"5.41";
"2020-12-21";"5.25";
"2020-12-22";"5.27";
"2020-12-23";"5.35";
"2020-12-29";"5.23";
"2020-12-30";"5.26";
"2020-12-31";"5.24";
"2021-01-04";"5.31";
"2021-01-05";"5.37";
"2021-01-06";"5.51";
"2021-01-07";"5.71";
"2021-01-08";"5.77";
"2021-01-11";"5.72";
"2021-01-12";"5.90";
"2021-01-13";"5.93";
"2021-01-14";"6.02";
"2021-01-15";"5.96";
"2021-01-19";"5.94";
"2021-01-20";"6.00";
"2021-01-21";"5.92";
"2021-01-22";"5.74";
"2021-01-25";"5.75";
"2021-01-26";"5.77";
"2021-01-27";"5.55";
"2021-01-28";"5.57";
"2021-01-29";"5.63";
"2021-02-01";"5.52";
"2021-02-02";"5.67";
"2021-02-03";"5.74";
"2021-02-04";"5.82";
"2021-02-05";"5.87";
"2021-02-08";"5.94";
"2021-02-09";"5.93";
"2021-02-10";"5.93";
"2021-02-11";"5.94";
"2021-02-12";"5.94";
"2021-02-16";"6.15";
"2021-02-17";"6.12";
"2021-02-18";"6.03";
"2021-02-19";"5.98";
"2021-02-22";"6.09";
"2021-02-23";"5.98";
"2021-02-24";"6.24";
"2021-02-25";"6.28";
"2021-02-26";"6.03";
"2021-03-01";"6.22";
"2021-03-02";"6.27";
"2021-03-03";"6.30";
"2021-03-04";"6.37";
"2021-03-05";"6.61";
"2021-03-08";"6.65";
"2021-03-09";"6.61";
"2021-03-10";"6.63";
"2021-03-11";"6.80";
"2021-03-12";"6.79";
"2021-03-15";"6.76";
"2021-03-16";"6.65";
"2021-03-17";"6.58";
"2021-03-18";"6.56";
"2021-03-19";"6.50";
"2021-03-22";"6.41";
"2021-03-23";"6.30";
"2021-03-24";"6.47";
"2021-03-25";"6.27";
"2021-03-26";"6.57";
"2021-03-29";"6.57";
"2021-03-30";"6.52";
"2021-03-31";"6.53";
"2021-04-01";"6.60";
"2021-04-06";"6.62";
"2021-04-07";"6.51";
"2021-04-08";"6.42";
"2021-04-09";"6.49";
"2021-04-12";"6.43";
"2021-04-13";"6.32";
"2021-04-14";"6.46";
"2021-04-15";"6.46";
"2021-04-16";"6.46";
"2021-04-19";"6.46";
"2021-04-20";"6.28";
"2021-04-21";"6.26";
"2021-04-22";"6.32";
"2021-04-23";"6.31";
"2021-04-26";"6.40";
"2021-04-27";"6.44";
"2021-04-28";"6.52";
"2021-04-29";"6.68";
"2021-04-30";"6.65";
"2021-05-04";"6.62";
"2021-05-05";"6.80";
"2021-05-06";"6.74";
"2021-05-07";"6.82";
"2021-05-10";"6.93";
"2021-05-11";"6.80";
"2021-05-12";"6.88";
"2021-05-14";"6.88";
"2021-05-17";"6.89";
"2021-05-18";"6.96";
"2021-05-19";"6.73";
"2021-05-20";"6.74";
"2021-05-21";"6.91";
"2021-05-25";"6.80";
"2021-05-26";"6.75";
"2021-05-27";"6.88";
"2021-05-28";"6.89";
"2021-06-01";"7.00";
"2021-06-02";"7.08";
"2021-06-03";"7.15";
"2021-06-04";"7.24";
"2021-06-07";"7.31";
"2021-06-08";"7.29";
"2021-06-09";"7.36";
"2021-06-10";"7.39";
"2021-06-11";"7.42";
"2021-06-14";"7.49";
"2021-06-15";"7.50";
"2021-06-16";"7.45";
"2021-06-17";"7.53";
"2021-06-18";"7.29";
"2021-06-21";"7.24";
"2021-06-22";"7.33";
"2021-06-24";"7.36";
"2021-06-25";"7.40";
"2021-06-28";"7.30";
"2021-06-29";"7.33";
"2021-06-30";"7.38";
"2021-07-01";"7.44";
"2021-07-02";"7.44";
"2021-07-06";"7.41";
"2021-07-07";"7.31";
"2021-07-08";"7.11";
"2021-07-09";"7.24";
"2021-07-12";"7.27";
"2021-07-13";"7.27";
"2021-07-14";"7.25";
"2021-07-15";"7.03";
"2021-07-16";"6.98";
"2021-07-19";"6.57";
"2021-07-20";"6.69";
"2021-07-21";"6.93";
"2021-07-22";"6.85";
"2021-07-23";"6.82";
"2021-07-26";"6.98";
"2021-07-27";"6.86";
"2021-07-28";"6.90";
"2021-07-29";"6.96";
"2021-07-30";"6.95";
"2021-08-02";"6.99";
"2021-08-03";"6.77";
"2021-08-04";"6.80";
"2021-08-05";"6.89";
"2021-08-06";"6.94";
"2021-08-09";"6.89";
"2021-08-10";"6.95";
"2021-08-11";"6.97";
"2021-08-12";"7.01";
"2021-08-13";"6.97";
"2021-08-16";"6.80";
"2021-08-17";"6.79";
"2021-08-18";"6.78";
"2021-08-19";"6.57";
"2021-08-20";"6.54";
"2021-08-23";"6.74";
"2021-08-24";"6.84";
"2021-08-25";"6.85";
"2021-08-26";"6.88";
"2021-08-27";"6.91";
"2021-08-31";"6.83";
"2021-09-01";"6.81";
"2021-09-02";"6.92";
"2021-09-03";"6.94";
"2021-09-07";"6.94";
"2021-09-08";"6.97";
"2021-09-09";"6.88";
"2021-09-10";"6.89";
"2021-09-13";"7.01";
"2021-09-14";"7.01";
"2021-09-15";"7.13";
"2021-09-16";"7.16";
"2021-09-17";"7.11";
"2021-09-20";"6.93";
"2021-09-21";"6.90";
"2021-09-22";"7.09";
"2021-09-23";"7.20";
"2021-09-24";"7.31";
"2021-09-27";"7.57";
"2021-09-28";"7.61";
"2021-09-29";"7.55";
"2021-09-30";"7.59";
"2021-10-01";"7.61";
"2021-10-04";"7.86";
"2021-10-05";"7.96";
"2021-10-06";"7.74";
"2021-10-07";"7.85";
"2021-10-08";"8.01";
